,precision,recall,f1-score,support
0,1.0000,1.0000,1.0000,309.0000
1,1.0000,1.0000,1.0000,309.0000
2,0.9968,0.9968,0.9968,309.0000
3,1.0000,0.9935,0.9968,309.0000
4,0.9968,0.9935,0.9951,309.0000
5,0.9968,1.0000,0.9984,309.0000
6,0.9968,1.0000,0.9984,309.0000
7,0.9902,0.9838,0.9870,309.0000
8,0.9872,0.9968,0.9919,309.0000
9,1.0000,1.0000,1.0000,309.0000
A,1.0000,1.0000,1.0000,303.0000
B,0.9967,0.9871,0.9919,309.0000
C,1.0000,1.0000,1.0000,306.0000
D,0.9967,0.9967,0.9967,303.0000
E,1.0000,0.9967,0.9983,303.0000
F,1.0000,1.0000,1.0000,306.0000
G,1.0000,1.0000,1.0000,306.0000
H,1.0000,1.0000,1.0000,306.0000
I,1.0000,0.9967,0.9983,303.0000
J,0.9903,0.9903,0.9903,309.0000
K,1.0000,1.0000,1.0000,303.0000
L,0.9967,1.0000,0.9984,303.0000
M,1.0000,1.0000,1.0000,306.0000
N,1.0000,1.0000,1.0000,306.0000
P,1.0000,1.0000,1.0000,303.0000
Q,1.0000,0.9967,0.9983,303.0000
R,1.0000,1.0000,1.0000,306.0000
S,1.0000,1.0000,1.0000,306.0000
T,0.9935,0.9967,0.9951,306.0000
U,1.0000,1.0000,1.0000,303.0000
V,1.0000,1.0000,1.0000,309.0000
W,1.0000,1.0000,1.0000,303.0000
X,0.9967,1.0000,0.9984,303.0000
Y,0.9967,1.0000,0.9984,303.0000
Z,0.9918,1.0000,0.9959,243.0000
accuracy,0.9978,0.9978,0.9978,0.9978
macro avg,0.9978,0.9979,0.9978,10650.0000
weighted avg,0.9978,0.9978,0.9978,10650.0000
